Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Thermal Coefficient,Digikey Part Number,Mouser Part Number
1,Unpolarized capacitor,C,C2 C4 C5 C8 C14 C16 C17 C20 C23 C24 C25 C26 C29 C30 C31 C32 C33 C34 C35,0.1uF,C_0805_HandSoldering,19,,,,
2,Unpolarized capacitor,C,C1 C11 C12 C13 C27 C28,1uF,C_0805_HandSoldering,6,,X5R,,
3,Unpolarized capacitor,C,C9 C10 C21 C22,20pF,C_0805_HandSoldering,4,,,,
4,Unpolarized capacitor,C,C6 C7 C18 C19,4.3pF,C_0805_HandSoldering,4,,,,
5,Unpolarized capacitor,C,C3 C15,4.7uF,C_0805_HandSoldering,2,,,,
6,,CONN_02X26,H1 H2,CONN_02X26,CSK_Header,2,,,,
7,,INDUCTOR_SMALL,L1 L2,BEAD,Choke_SMD_1206_Handsoldering,2,,,535-11657-1-ND,
8,,CONN_02X08,P1,CONN_02X08,Pin_Header_Angled_2x08,1,,,S9017E-08-ND ,
9,Resistor,R,R1 R2 R3 R4 R5 R6 R7 R8 R9 R10 R11 R12 R13 R14 R15 R16 R17 R18 R25 R26 R27 R28 R29,100K,R_0805_HandSoldering,23,,,,
10,Resistor,R,R19 R20 R21 R22 R23 R24,4.7K,R_0805_HandSoldering,6,,,,
11,Quad nand2,74LS00,U4,74LS00,SOIC-14_3.9x8.7mm_Pitch1.27mm,1,,,296-14873-1-ND,
12,Quad buffer 3 State out,74LS125,U5 U10 U11 U12 U13 U16 U17,74LS125,SOIC-14_3.9x8.7mm_Pitch1.27mm,7,,,,
13,"150mA Low Dropout Voltage Regulator, Fixed Output 1.2V, SOT-23",AP7313,U3,AP7313,SOT-23_Handsoldering,1,,,AP7313-18SAG-7DICT-ND ,
14,FRAM SPI 2MBit,FM25V20A-G,U6 U7 U8 U9,FM25V20A-G,SOIC-8_3.9x4.9mm_Pitch1.27mm,4,,,FM25V20A-G-ND,
15,I2C Buffer With Enable,PCA9517A,U14 U15,PCA9517A,SOIC-8_3.9x4.9mm_Pitch1.27mm,2,,,296-23734-1-ND,
16,ARM Cortex M4 Microcontroller,STM32F411-LQFP64,U1 U2,STM32F411-LQFP64,LQFP-64_10x10mm_Pitch0.5mm,2,,,,511-STM32F411RET6 
17,Two pin crystal,Crystal,Y1 Y3,32k,SOJ-4_5.5mm,2,,,535-10242-1-ND ,
18,Two pin crystal,Crystal,Y2 Y4,8M(16pF),SOJ-4_9.4mm,2,,,XC2041-1-ND ,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Component Groups:,18,,,,,,,,,
Component Count:,90,,,,,,,,,
Fitted Components:,90,,,,,,,,,
Number of PCBs:,1,,,,,,,,,
Total components:,90,,,,,,,,,
Schematic Version:,,,,,,,,,,
Schematic Date:,,,,,,,,,,
BoM Date:,Mon 16 Oct 2017 12:35:08 PM CDT,,,,,,,,,
Schematic Source:,/home/nate/Documents/CySat-Motherboard/motherboard.sch,,,,,,,,,
KiCad Version:,Eeschema 4.0.7-e2-6376~58~ubuntu16.04.1,,,,,,,,,
